pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Metabolism	0.176795580110497	0.903792840822544	0.175204047558551	-0.491135591724505	-1.26533753099244	11	NDUFS7 UQCR11 STK11 GAMT GPX4 ATP5F1D MED16
"FGFR2 alternative splicing"	0.184158415841584	0.903792840822544	0.142901149386948	0.845624882720429	1.22378181637165	2	PTBP1 POLR2E
"Processing of Capped Intron-Containing Pre-mRNA"	0.184158415841584	0.903792840822544	0.142901149386948	0.845624882720429	1.22378181637165	2	PTBP1 POLR2E
"mRNA Splicing"	0.184158415841584	0.903792840822544	0.142901149386948	0.845624882720429	1.22378181637165	2	PTBP1 POLR2E
"mRNA Splicing - Major Pathway"	0.184158415841584	0.903792840822544	0.142901149386948	0.845624882720429	1.22378181637165	2	PTBP1 POLR2E
"Signaling by NTRK1 (TRKA)"	0.207317073170732	0.931466849879766	0.135740943810425	-0.927536231884058	-1.20103959639198	1	SHC2
"Signaling by NTRKs"	0.207317073170732	0.931466849879766	0.135740943810425	-0.927536231884058	-1.20103959639198	1	SHC2
"Signaling by VEGF"	0.207317073170732	0.931466849879766	0.135740943810425	-0.927536231884058	-1.20103959639198	1	SHC2
"Signalling to ERKs"	0.207317073170732	0.931466849879766	0.135740943810425	-0.927536231884058	-1.20103959639198	1	SHC2
"Signalling to RAS"	0.207317073170732	0.931466849879766	0.135740943810425	-0.927536231884058	-1.20103959639198	1	SHC2
"VEGFA-VEGFR2 Pathway"	0.207317073170732	0.931466849879766	0.135740943810425	-0.927536231884058	-1.20103959639198	1	SHC2
"Complement cascade"	0.227443609022556	0.934170410783055	0.123257226381337	0.761194029850746	1.21856414445091	3	ELANE CFD GZMM
"HCN channels"	0.241869918699187	0.934170410783055	0.124434168630393	-0.91304347826087	-1.18227335269836	1	HCN2
"Potassium Channels"	0.241869918699187	0.934170410783055	0.124434168630393	-0.91304347826087	-1.18227335269836	1	HCN2
"Antimicrobial peptides"	0.285148514851485	0.934170410783055	0.11146266692298	0.803443253406334	1.16273688735603	2	ELANE PRTN3
"Lysosphingolipid and LPA receptors"	0.32520325203252	0.934170410783055	0.104732821580651	-0.869565217391304	-1.12597462161748	1	PLPPR3
"Platelet activation, signaling and aggregation"	0.325490196078431	0.934170410783055	0.102449405629826	0.855072463768116	1.13796892762409	1	CFD
"Platelet degranulation "	0.325490196078431	0.934170410783055	0.102449405629826	0.855072463768116	1.13796892762409	1	CFD
"Response to elevated platelet cytosolic Ca2+"	0.325490196078431	0.934170410783055	0.102449405629826	0.855072463768116	1.13796892762409	1	CFD
"Transcriptional Regulation by TP53"	0.333333333333333	0.934170410783055	0.0946646223153342	0.661573633134541	1.13987517245787	4	ARID3A POLR2E MBD3
"Respiratory electron transport"	0.334	0.934170410783055	0.102080107662747	-0.764705882352941	-1.15976359171354	2	NDUFS7 UQCR11
"Gene expression (Transcription)"	0.351219512195122	0.934170410783055	0.0870515867946735	0.531559140529253	1.09710469791438	8	ARID3A TCF3 POLRMT POLR2E MBD3 MED16 GAMT STK11
"Cytokine Signaling in Immune system"	0.364356435643564	0.934170410783055	0.096240602328129	0.759762402513168	1.09952229641976	2	CNN2 PRTN3
"Signaling by Interleukins"	0.364356435643564	0.934170410783055	0.096240602328129	0.759762402513168	1.09952229641976	2	CNN2 PRTN3
"Extracellular matrix organization"	0.366541353383459	0.934170410783055	0.0928481214159878	0.694359453852777	1.11157142679038	3	ELANE BSG
"The citric acid (TCA) cycle and respiratory electron transport"	0.367816091954023	0.934170410783055	0.104732821580651	-0.621212121212121	-1.12928834893192	4	NDUFS7 UQCR11 ATP5F1D BSG
"Integrin cell surface interactions"	0.372	0.934170410783055	0.0956031492204301	-0.741504511033101	-1.12457606882986	2	MADCAM1
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."	0.377118644067797	0.934170410783055	0.0982123351217438	-0.671641791044776	-1.13335542119665	3	NDUFS7 UQCR11 ATP5F1D
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	0.380081300813008	0.934170410783055	0.0952879846194844	-0.840579710144928	-1.08844213423023	1	MADCAM1
"CDC42 GTPase cycle"	0.384313725490196	0.934170410783055	0.0925528864684773	0.826086956521739	1.09939370973853	1	ARHGAP45
"RAC1 GTPase cycle"	0.384313725490196	0.934170410783055	0.0925528864684773	0.826086956521739	1.09939370973853	1	ARHGAP45
"RHO GTPase cycle"	0.384313725490196	0.934170410783055	0.0925528864684773	0.826086956521739	1.09939370973853	1	ARHGAP45
"RHOA GTPase cycle"	0.384313725490196	0.934170410783055	0.0925528864684773	0.826086956521739	1.09939370973853	1	ARHGAP45
"Signaling by Rho GTPases"	0.384313725490196	0.934170410783055	0.0925528864684773	0.826086956521739	1.09939370973853	1	ARHGAP45
"Signaling by Rho GTPases, Miro GTPases and RHOBTB3"	0.384313725490196	0.934170410783055	0.0925528864684773	0.826086956521739	1.09939370973853	1	ARHGAP45
"Alternative complement activation"	0.392079207920792	0.934170410783055	0.0919686140000427	0.75	1.0853942227031	2	CFD GZMM
"Initial triggering of complement"	0.392079207920792	0.934170410783055	0.0919686140000427	0.75	1.0853942227031	2	CFD GZMM
"Generic Transcription Pathway"	0.40064620355412	0.934170410783055	0.0795564677235957	0.537988874524011	1.07276055055105	7	ARID3A TCF3
"RNA Polymerase II Transcription"	0.40064620355412	0.934170410783055	0.0795564677235957	0.537988874524011	1.07276055055105	7	ARID3A TCF3
"Transport of small molecules"	0.402255639097744	0.934170410783055	0.0875697115548511	0.673888101808883	1.0787996831733	3	ATP8B3 ABCA7
Myogenesis	0.407843137254902	0.934170410783055	0.0891647117820678	0.811594202898551	1.08010610079575	1	TCF3
"RUNX1 regulates transcription of genes involved in differentiation of HSCs"	0.407843137254902	0.934170410783055	0.0891647117820678	0.811594202898551	1.08010610079575	1	TCF3
"Transcriptional regulation by RUNX1"	0.407843137254902	0.934170410783055	0.0891647117820678	0.811594202898551	1.08010610079575	1	TCF3
"Signaling by Receptor Tyrosine Kinases"	0.411494252873563	0.934170410783055	0.0978773277424561	-0.583021168030111	-1.05986182457677	4	FGF22 SHC2
"Adaptive Immune System"	0.415254237288136	0.934170410783055	0.0925528864684773	-0.643789537490574	-1.08635640627666	3	MADCAM1
"Antagonism of Activin by Follistatin"	0.427450980392157	0.934170410783055	0.0865399737444125	0.797101449275362	1.06081849185297	1	FSTL3
"Post-translational protein phosphorylation"	0.427450980392157	0.934170410783055	0.0865399737444125	0.797101449275362	1.06081849185297	1	FSTL3
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	0.427450980392157	0.934170410783055	0.0865399737444125	0.797101449275362	1.06081849185297	1	FSTL3
"Signaling by Activin"	0.427450980392157	0.934170410783055	0.0865399737444125	0.797101449275362	1.06081849185297	1	FSTL3
"Signaling by TGFB family members"	0.427450980392157	0.934170410783055	0.0865399737444125	0.797101449275362	1.06081849185297	1	FSTL3
"Metabolism of RNA"	0.454545454545455	0.934170410783055	0.0751181635276302	0.567022775871498	1.0410935734488	5	PTBP1 RPS15 ADAT3 WDR18
"G alpha (q) signalling events"	0.456862745098039	0.934170410783055	0.0828962134571565	0.782608695652174	1.04153088291019	1	KISS1R
"GPCR downstream signalling"	0.456862745098039	0.934170410783055	0.0828962134571565	0.782608695652174	1.04153088291019	1	KISS1R
"Peptide ligand-binding receptors"	0.456862745098039	0.934170410783055	0.0828962134571565	0.782608695652174	1.04153088291019	1	KISS1R
"RAS processing"	0.457317073170732	0.934170410783055	0.0847985102819124	-0.811594202898551	-1.05090964684298	1	ABHD17A
"Metabolism of lipids"	0.485057471264368	0.934170410783055	0.0883594442500905	-0.536532668041609	-0.975351365743645	4	GPX4 MED16 CSNK1G2
"Neuronal System"	0.497029702970297	0.934170410783055	0.0789209638180035	0.696021205947737	1.00727652775269	2	GRIN3B
"Defective B3GALTL causes Peters-plus syndrome (PpS)"	0.519607843137255	0.934170410783055	0.0760837160951725	0.753623188405797	1.00295566502462	1	ADAMTSL5
"Diseases associated with O-glycosylation of proteins"	0.519607843137255	0.934170410783055	0.0760837160951725	0.753623188405797	1.00295566502462	1	ADAMTSL5
"Diseases of glycosylation"	0.519607843137255	0.934170410783055	0.0760837160951725	0.753623188405797	1.00295566502462	1	ADAMTSL5
"Diseases of metabolism"	0.519607843137255	0.934170410783055	0.0760837160951725	0.753623188405797	1.00295566502462	1	ADAMTSL5
"O-glycosylation of TSR domain-containing proteins"	0.519607843137255	0.934170410783055	0.0760837160951725	0.753623188405797	1.00295566502462	1	ADAMTSL5
"O-linked glycosylation"	0.519607843137255	0.934170410783055	0.0760837160951725	0.753623188405797	1.00295566502462	1	ADAMTSL5
Disease	0.52020202020202	0.934170410783055	0.0897104652742981	-0.459924956265531	-0.955929690273269	6	FGF22
"Carboxyterminal post-translational modifications of tubulin"	0.520325203252033	0.934170410783055	0.0778840111977068	-0.782608695652174	-1.01337715945573	1	TPGS1
"Developmental Biology"	0.523569023569024	0.934170410783055	0.0679922591544058	0.53258895762427	0.977870668810806	5	TCF3 EFNA2 RPS15
"Complex I biogenesis"	0.536585365853659	0.934170410783055	0.0762797180809272	-0.768115942028986	-0.99461091576211	1	NDUFS7
Hemostasis	0.545112781954887	0.934170410783055	0.0714786287425507	0.611649991529722	0.979165258006515	3	CFD PRTN3
"EPH-Ephrin signaling"	0.566666666666667	0.934170410783055	0.0716527366829457	0.72463768115942	0.964380447139062	1	EFNA2
"EPH-ephrin mediated repulsion of cells"	0.566666666666667	0.934170410783055	0.0716527366829457	0.72463768115942	0.964380447139062	1	EFNA2
"EPHA-mediated growth cone collapse"	0.566666666666667	0.934170410783055	0.0716527366829457	0.72463768115942	0.964380447139062	1	EFNA2
"Axon guidance"	0.627722772277228	0.934170410783055	0.0670512579829467	0.647058823529412	0.936418545077185	2	EFNA2 RPS15
"Nervous system development"	0.627722772277228	0.934170410783055	0.0670512579829467	0.647058823529412	0.936418545077185	2	EFNA2 RPS15
"Regulation of TP53 Activity"	0.63	0.934170410783055	0.0673623868166279	-0.617647058823529	-0.936732131768627	2	STK11 MBD3
"Post-translational protein modification"	0.6331569664903	0.934170410783055	0.0610363728309177	0.524146333495087	0.903091299837772	4	FSTL3 ADAMTSL5
"ABC transporters in lipid homeostasis"	0.63921568627451	0.934170410783055	0.0656813601934011	0.666666666666667	0.887230011367937	1	ABCA7
"ABC-family proteins mediated transport"	0.63921568627451	0.934170410783055	0.0656813601934011	0.666666666666667	0.887230011367937	1	ABCA7
"AMPK inhibits chREBP transcriptional activation activity"	0.648373983739837	0.934170410783055	0.0667426134241917	-0.710144927536232	-0.919545940987611	1	STK11
"Energy dependent regulation of mTOR by LKB1-AMPK"	0.648373983739837	0.934170410783055	0.0667426134241917	-0.710144927536232	-0.919545940987611	1	STK11
"FOXO-mediated transcription"	0.648373983739837	0.934170410783055	0.0667426134241917	-0.710144927536232	-0.919545940987611	1	STK11
"FOXO-mediated transcription of cell death genes"	0.648373983739837	0.934170410783055	0.0667426134241917	-0.710144927536232	-0.919545940987611	1	STK11
"Integration of energy metabolism"	0.648373983739837	0.934170410783055	0.0667426134241917	-0.710144927536232	-0.919545940987611	1	STK11
"MTOR signalling"	0.648373983739837	0.934170410783055	0.0667426134241917	-0.710144927536232	-0.919545940987611	1	STK11
"Regulation of TP53 Activity through Phosphorylation"	0.648373983739837	0.934170410783055	0.0667426134241917	-0.710144927536232	-0.919545940987611	1	STK11
"Epigenetic regulation of gene expression"	0.676	0.934170410783055	0.0639271933359996	-0.588235294117647	-0.892125839779644	2	MBD3 POLR2E
"Positive epigenetic regulation of rRNA expression"	0.676	0.934170410783055	0.0639271933359996	-0.588235294117647	-0.892125839779644	2	MBD3 POLR2E
"RNA Polymerase I Promoter Clearance"	0.676	0.934170410783055	0.0639271933359996	-0.588235294117647	-0.892125839779644	2	MBD3 POLR2E
"RNA Polymerase I Transcription"	0.676	0.934170410783055	0.0639271933359996	-0.588235294117647	-0.892125839779644	2	MBD3 POLR2E
"RNA Polymerase I Transcription Initiation"	0.676	0.934170410783055	0.0639271933359996	-0.588235294117647	-0.892125839779644	2	MBD3 POLR2E
"Mitochondrial biogenesis"	0.682	0.934170410783055	0.0635007968065945	-0.581357593460997	-0.881695023173731	2	ATP5F1D
"Organelle biogenesis and maintenance"	0.682	0.934170410783055	0.0635007968065945	-0.581357593460997	-0.881695023173731	2	ATP5F1D
"Creatine metabolism"	0.701219512195122	0.934170410783055	0.0629394692018967	-0.681159420289855	-0.882013453600362	1	GAMT
"Transcriptional Regulation by MECP2"	0.701219512195122	0.934170410783055	0.0629394692018967	-0.681159420289855	-0.882013453600362	1	GAMT
"Metabolism of proteins"	0.705387205387205	0.934170410783055	0.05378728077603	0.440440333391789	0.808679333695327	5	FSTL3 ADAMTSL5 RPS15
"Common Pathway of Fibrin Clot Formation"	0.713725490196079	0.934170410783055	0.0603786357920401	0.652173913043478	0.867942402425156	1	PRTN3
"Formation of Fibrin Clot (Clotting Cascade)"	0.713725490196079	0.934170410783055	0.0603786357920401	0.652173913043478	0.867942402425156	1	PRTN3
"Other interleukin signaling"	0.713725490196079	0.934170410783055	0.0603786357920401	0.652173913043478	0.867942402425156	1	PRTN3
"Major pathway of rRNA processing in the nucleolus and cytosol"	0.730693069306931	0.934170410783055	0.0597317976364411	0.588235294117647	0.851289586433805	2	RPS15 WDR18
"rRNA processing"	0.730693069306931	0.934170410783055	0.0597317976364411	0.588235294117647	0.851289586433805	2	RPS15 WDR18
"rRNA processing in the nucleus and cytosol"	0.730693069306931	0.934170410783055	0.0597317976364411	0.588235294117647	0.851289586433805	2	RPS15 WDR18
"Signaling by FGFR"	0.730932203389831	0.934170410783055	0.0629394692018967	-0.458592997017216	-0.77384830161295	3	FGF22
"Signaling by FGFR2"	0.730932203389831	0.934170410783055	0.0629394692018967	-0.458592997017216	-0.77384830161295	3	FGF22
"Arachidonic acid metabolism"	0.737804878048781	0.934170410783055	0.0605092988656667	-0.666666666666667	-0.863247209906737	1	GPX4
"Biosynthesis of D-series resolvins"	0.737804878048781	0.934170410783055	0.0605092988656667	-0.666666666666667	-0.863247209906737	1	GPX4
"Biosynthesis of DHA-derived SPMs"	0.737804878048781	0.934170410783055	0.0605092988656667	-0.666666666666667	-0.863247209906737	1	GPX4
"Biosynthesis of E-series 18(R)-resolvins"	0.737804878048781	0.934170410783055	0.0605092988656667	-0.666666666666667	-0.863247209906737	1	GPX4
"Biosynthesis of E-series 18(S)-resolvins"	0.737804878048781	0.934170410783055	0.0605092988656667	-0.666666666666667	-0.863247209906737	1	GPX4
"Biosynthesis of EPA-derived SPMs"	0.737804878048781	0.934170410783055	0.0605092988656667	-0.666666666666667	-0.863247209906737	1	GPX4
"Biosynthesis of aspirin-triggered D-series resolvins"	0.737804878048781	0.934170410783055	0.0605092988656667	-0.666666666666667	-0.863247209906737	1	GPX4
"Biosynthesis of specialized proresolving mediators (SPMs)"	0.737804878048781	0.934170410783055	0.0605092988656667	-0.666666666666667	-0.863247209906737	1	GPX4
"Fatty acid metabolism"	0.737804878048781	0.934170410783055	0.0605092988656667	-0.666666666666667	-0.863247209906737	1	GPX4
"Synthesis of 12-eicosatetraenoic acid derivatives"	0.737804878048781	0.934170410783055	0.0605092988656667	-0.666666666666667	-0.863247209906737	1	GPX4
"Synthesis of 15-eicosatetraenoic acid derivatives"	0.737804878048781	0.934170410783055	0.0605092988656667	-0.666666666666667	-0.863247209906737	1	GPX4
"Synthesis of 5-eicosatetraenoic acids"	0.737804878048781	0.934170410783055	0.0605092988656667	-0.666666666666667	-0.863247209906737	1	GPX4
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Cap-dependent Translation Initiation"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Cellular response to starvation"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Cellular responses to stimuli"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Cellular responses to stress"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Eukaryotic Translation Elongation"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Eukaryotic Translation Initiation"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Eukaryotic Translation Termination"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Formation of a pool of free 40S subunits"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Formation of the ternary complex, and subsequently, the 43S complex"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"GTP hydrolysis and joining of the 60S ribosomal subunit"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"L13a-mediated translational silencing of Ceruloplasmin expression"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Nonsense-Mediated Decay (NMD)"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Peptide chain elongation"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Regulation of expression of SLITs and ROBOs"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Response of EIF2AK4 (GCN2) to amino acid deficiency"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Ribosomal scanning and start codon recognition"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"SRP-dependent cotranslational protein targeting to membrane"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Selenoamino acid metabolism"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Selenocysteine synthesis"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Signaling by ROBO receptors"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
Translation	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Translation initiation complex formation"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Viral mRNA Translation"	0.73921568627451	0.934170410783055	0.0587185879555941	0.63768115942029	0.848654793482374	1	RPS15
"Cristae formation"	0.768292682926829	0.934170410783055	0.0585937568945671	-0.652173913043478	-0.844480966213112	1	ATP5F1D
"Formation of ATP by chemiosmotic coupling"	0.768292682926829	0.934170410783055	0.0585937568945671	-0.652173913043478	-0.844480966213112	1	ATP5F1D
"Antigen processing: Ubiquitination & Proteasome degradation"	0.77	0.934170410783055	0.0577308549299813	-0.514705882352941	-0.780610109807189	2	CDC34 RNF126
